Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
23,23,2019-12-09,@,BOS,L,88,110,36,91,.396,7,31,.226,9,19,.474,18,45,18,8,2,18,11,,45,78,.577,15,27,.556,5,8,.625,5,39,22,8,9,18,19
24,24,2019-12-11,,HOU,L,110,116,46,89,.517,13,32,.406,5,8,.625,9,36,29,8,4,15,15,,43,87,.494,17,42,.405,13,13,1.000,11,36,18,10,6,13,14
25,25,2019-12-12,@,SAS,W,117,109,44,96,.458,15,45,.333,14,20,.700,11,50,22,6,3,18,22,,42,86,.488,5,16,.313,20,25,.800,2,36,19,11,7,12,21
26,26,2019-12-14,@,MIL,L,108,125,41,90,.456,15,35,.429,11,15,.733,12,45,27,10,3,18,19,,46,85,.541,14,37,.378,19,26,.731,8,41,26,12,6,12,17
27,27,2019-12-16,@,TOR,L,113,133,44,90,.489,12,35,.343,13,17,.765,9,39,30,6,1,10,15,,52,89,.584,16,32,.500,13,17,.765,6,41,31,7,2,7,19
28,28,2019-12-18,,CHO,W,100,98,40,74,.541,7,26,.269,13,17,.765,10,48,25,7,3,23,21,,37,91,.407,13,37,.351,11,18,.611,15,35,25,12,3,9,20
29,29,2019-12-20,,MEM,W,114,107,40,92,.435,17,37,.459,17,23,.739,16,60,26,4,10,14,12,,44,102,.431,14,41,.341,5,7,.714,10,46,31,9,8,7,17
30,30,2019-12-23,,ATL,W,121,118,50,96,.521,11,29,.379,10,12,.833,7,43,19,8,6,23,16,,45,95,.474,15,42,.357,13,17,.765,5,37,23,11,7,16,20
31,31,2019-12-27,@,BOS,L,117,129,44,85,.518,9,23,.391,20,29,.690,6,38,22,7,3,11,17,,49,95,.516,14,40,.350,17,19,.895,12,43,28,4,10,11,23
32,32,2019-12-28,@,MIN,W,94,88,32,77,.416,4,20,.200,26,36,.722,14,60,13,9,4,28,21,,33,93,.355,8,37,.216,14,19,.737,14,40,17,17,8,18,29
33,33,2019-12-31,@,TOR,L,97,117,37,87,.425,10,38,.263,13,16,.813,8,41,21,5,4,14,19,,40,84,.476,17,39,.436,20,25,.800,10,45,29,5,7,11,15
