Rk ATL,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,TOV%,ORB%,FT/FGA,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
BKN,30,2019-12-26,,NYK,L,82,94,85.2,97.7,96.2,12.2,16.1,0.346,21,78,0.269,13,50,0.26,27,36,0.75,9,50,17,3,3,13,19
BKN,31,2019-12-28,@,HOU,L,98,108,94.5,104.1,103.7,12.9,19.1,0.141,37,92,0.402,11,39,0.282,13,21,0.619,9,47,24,7,5,15,15
BKN,32,2019-12-30,@,MIN,L,115,122,97.6,103.5,106.7,12.6,12.5,0.202,40,99,0.404,15,41,0.366,20,27,0.741,7,58,22,4,6,16,25
BKN,33,2020-01-02,@,DAL,L,111,123,116.2,128.7,95.5,10,26.1,0.165,42,91,0.462,12,37,0.324,15,17,0.882,12,44,29,5,1,11,21
BKN,34,2020-01-04,,TOR,L,102,121,104.6,124,97.5,22.7,17.6,0.373,32,67,0.478,13,35,0.371,25,34,0.735,6,38,24,4,11,24,24
BKN,35,2020-01-06,@,ORL,L,89,101,88.3,100.2,100.7,10.3,19.7,0.156,32,96,0.333,10,47,0.213,15,19,0.789,12,46,20,11,1,12,19
BKN,36,2020-01-07,,OKC,L,103,111,94.5,101.9,98.7,13.9,20.4,0.122,40,98,0.408,11,37,0.297,12,16,0.75,11,52,19,5,5,17,25
BKN,37,2020-01-10,,MIA,W,117,113,122.3,118.1,95.7,8.2,28,0.129,45,93,0.484,15,44,0.341,12,19,0.632,14,51,31,5,4,9,15
BKN,38,2020-01-12,,ATL,W,108,86,101,80.5,106.9,21.1,19.4,0.208,41,77,0.532,10,26,0.385,16,29,0.552,7,62,25,8,2,24,20
BKN,39,2020-01-14,,UTA,L,107,118,110.7,122,96.7,11,24.4,0.1,45,90,0.5,8,26,0.308,9,15,0.6,11,43,22,4,4,12,13
BKN,40,2020-01-15,@,PHI,L,106,117,107.8,118.9,98.4,11.5,23.4,0.207,38,87,0.437,12,25,0.48,18,30,0.6,11,44,20,9,1,13,22
BKN,41,2020-01-18,,MIL,L,97,117,88.8,107.1,109.2,13.8,19.7,0.162,33,99,0.333,15,49,0.306,16,17,0.941,12,47,23,11,7,17,19
BKN,42,2020-01-20,,PHI,L,111,117,108,113.8,102.8,18.7,29.5,0.272,39,81,0.481,11,29,0.379,22,34,0.647,13,47,22,7,2,22,23
BKN,43,2020-01-23,,LAL,L,113,128,108.4,122.8,104.3,14.1,16.3,0.132,40,91,0.44,21,46,0.457,12,15,0.8,8,41,30,12,3,16,17
BKN,44,2020-01-25,@,DET,W,121,111,118.1,108.3,92.8,8.7,22.4,0.234,42,94,0.447,15,42,0.357,22,25,0.88,11,55,19,3,5,10,17
BKN,45,2020-01-26,@,NYK,L,97,110,102,115.7,95.1,13.3,17.1,0.198,34,81,0.42,13,39,0.333,16,23,0.696,7,34,21,6,4,14,14
BKN,46,2020-01-29,,DET,W,125,115,127,116.9,98.4,8.4,20,0.282,43,85,0.506,15,39,0.385,24,30,0.8,8,37,26,8,7,9,19
BKN,47,2020-01-31,,CHI,W,133,118,131.5,116.6,101.2,18,15.6,0.225,50,80,0.625,15,31,0.484,18,25,0.72,5,37,31,8,5,20,21
BKN,48,2020-02-01,@,WAS,L,107,113,105.5,111.4,101.4,12.7,26.7,0.138,39,94,0.415,16,47,0.34,13,21,0.619,12,53,25,5,7,15,22
BKN,49,2020-02-03,,PHO,W,119,97,119.6,97.5,99.5,14.8,25.6,0.202,43,89,0.483,15,34,0.441,18,21,0.857,10,44,28,8,5,17,26
BKN,50,2020-02-05,,GSW,W,129,88,126.8,86.5,101.7,10.9,34.1,0.13,51,100,0.51,14,34,0.412,13,15,0.867,14,65,29,4,1,13,15
BKN,51,2020-02-08,@,TOR,L,118,119,123.5,124.5,95.6,8.1,27.1,0.217,41,92,0.446,16,44,0.364,20,24,0.833,13,46,27,5,5,9,16
BKN,52,2020-02-10,@,IND,W,106,105,112,111,94.6,9,29.2,0.276,35,87,0.402,12,37,0.324,24,32,0.75,14,53,20,5,7,10,15
BKN,53,2020-02-12,,TOR,W,101,91,102.6,92.4,98.5,10.8,25,0.227,36,88,0.409,9,35,0.257,20,25,0.8,12,55,27,7,5,12,16
