,Team,G_x,Date,Opp,W/L_x,Tm_x,Opp.1_x,ORtg_x,Pace_x,TOV%_x,ORB%_x,FT/FGA_x,FG_x,FGA_x,FG%_x,3P_x,3PA_x,3P%_x,ORB_x,TRB_x,TOV_x,PF_x,OppDefRtg
78,BOS,12,2019-11-17,SAC,L,99,100,105.2,94.1,13.1,22.2,0.256,34,82,0.415,10,30,0.33299999999999996,10,46,14,14,105.2
79,BOS,13,2019-11-18,PHO,W,99,85,100.4,98.6,15.0,22.9,0.146,37,89,0.41600000000000004,12,41,0.293,11,52,17,21,100.4
80,BOS,14,2019-11-20,LAC,L,104,107,98.5,95.6,13.4,31.6,0.096,41,104,0.39399999999999996,12,45,0.267,18,53,17,22,98.5
81,BOS,15,2019-11-22,DEN,L,92,96,95.5,96.4,10.8,11.9,0.235,33,81,0.40700000000000003,7,27,0.259,5,40,11,19,95.5
82,BOS,16,2019-11-25,SAC,W,103,102,114.6,89.9,10.4,28.2,0.235,38,85,0.447,7,30,0.233,11,38,11,16,114.6
83,BOS,17,2019-11-27,BRK,W,121,110,123.0,98.4,11.5,41.3,0.22699999999999998,43,97,0.44299999999999995,13,34,0.382,19,55,14,17,123.0
84,BOS,18,2019-11-29,BRK,L,107,112,104.9,102.0,15.7,30.8,0.172,41,93,0.441,9,28,0.321,16,48,19,14,104.9
85,BOS,19,2019-12-01,NYK,W,113,104,118.4,95.5,11.2,34.0,0.172,41,93,0.441,15,41,0.366,16,44,13,28,118.4
86,BOS,20,2019-12-04,MIA,W,112,93,121.7,92.0,9.7,23.8,0.32899999999999996,35,79,0.44299999999999995,16,41,0.39,10,46,10,20,121.7
87,BOS,21,2019-12-06,DEN,W,108,95,112.7,95.8,14.9,12.1,0.085,44,82,0.537,13,35,0.371,4,37,15,23,112.7
88,BOS,22,2019-12-09,CLE,W,110,88,115.8,95.0,18.1,15.6,0.064,45,78,0.5770000000000001,15,27,0.556,5,39,18,19,115.8
89,BOS,23,2019-12-11,IND,L,117,122,114.3,102.4,13.4,20.5,0.195,43,87,0.494,14,36,0.389,8,44,15,27,114.3
90,BOS,24,2019-12-12,PHI,L,109,115,118.0,92.4,5.7,19.6,0.154,42,91,0.462,11,31,0.355,9,33,6,25,118.0
91,BOS,25,2019-12-18,DAL,W,109,103,115.3,94.5,13.1,30.4,0.314,35,86,0.40700000000000003,12,38,0.316,14,54,15,21,115.3
